chr	start	end	patient_7	patient_70	patient_71	patient_72	patient_73	patient_74	patient_75	patient_76	patient_77	patient_78	patient_79	patient_8	patient_80	patient_81	patient_82	patient_83	patient_84	patient_85	patient_86	patient_87
chr14	24795868	24795869	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14	24795956	24795957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
chr14	24796042	24796043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
chr14	24796051	24796052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
chr14	24796089	24796090	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
chr14	24796188	24796189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
chr14	24796249	24796250	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
chr14	24796259	24796260	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
chr14	24796299	24796300	1	0	0	0	2	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1
chr14	24796311	24796312	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
chr14	24796392	24796393	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1
chr14	24796550	24796551	5	2	2	9	4	5	7	2	5	8	6	7	7	11	6	9	4	5	8	6
chr14	24797326	24797327	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0
chr14	24797332	24797333	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0
chr14	24797350	24797351	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
chr14	24797354	24797355	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr14	24797364	24797365	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0
chr14	24797379	24797380	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	1	0	0	0	0
chr14	24800690	24800691	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr14	24800930	24800931	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr14	24800958	24800959	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr14	24800963	24800964	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr14	24800986	24800987	0	0	0	2	0	0	2	0	0	0	0	1	0	3	0	0	0	0	2	1
chr14	24801008	24801009	0	0	0	3	0	0	2	1	1	0	0	3	0	3	2	3	0	0	2	2
chr14	24801019	24801020	0	0	0	1	0	0	0	1	1	0	0	2	0	0	2	3	0	0	0	1
chr14	24801022	24801023	0	0	0	1	0	0	0	1	1	0	0	2	0	0	2	3	0	0	0	1
chr14	24801025	24801026	0	0	0	1	1	0	0	1	1	0	0	2	0	0	2	3	0	0	0	1
chr14	24801052	24801053	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
chr14	24801057	24801058	9	13	1	7	7	11	10	3	5	19	11	8	7	15	10	5	10	7	7	7
chr14	24801064	24801065	18	18	11	12	13	24	22	12	11	27	20	14	12	34	18	14	19	16	17	15
chr14	24801071	24801072	18	18	11	12	13	24	22	12	11	27	20	13	12	34	18	14	19	16	17	15
chr14	24801073	24801074	18	18	10	12	13	24	22	12	11	27	20	13	12	34	18	14	19	16	17	15
chr14	24801084	24801085	18	18	11	12	13	24	22	12	11	27	20	13	12	33	18	14	19	16	17	15
chr14	24801171	24801172	9	7	10	6	7	15	16	11	6	12	14	9	6	26	10	8	12	10	11	11
chr14	24801173	24801174	9	5	10	5	6	13	12	9	6	8	9	6	5	19	7	9	9	9	10	8
chr14	24801191	24801192	4	2	6	2	8	10	3	0	10	5	7	2	5	5	7	4	0	7	2	3
chr14	24801513	24801514	3	5	2	11	4	6	11	2	2	11	10	7	2	4	9	12	6	8	2	10
chr14	24801518	24801519	2	5	2	11	4	6	11	2	2	11	10	7	2	4	9	12	6	8	2	10
chr14	24801529	24801530	3	5	2	11	4	6	11	2	2	11	10	7	2	4	9	12	6	8	2	10
chr14	24801719	24801720	3	5	2	11	4	6	11	2	2	11	10	7	2	4	9	12	6	8	2	10
chr14	24801731	24801732	3	5	2	11	4	6	11	2	2	11	10	7	2	4	9	12	6	8	2	10
chr14	24801747	24801748	1	1	0	7	1	1	7	0	1	7	8	3	0	2	5	2	2	6	0	6
chr14	24801778	24801779	7	14	3	5	12	35	9	11	10	17	5	5	13	26	6	12	18	12	5	16
chr14	24801794	24801795	7	14	3	5	12	35	9	11	10	17	5	5	13	26	6	12	18	12	5	16
chr14	24801912	24801913	4	3	0	2	1	14	3	2	1	7	1	3	7	9	2	2	2	5	2	7
chr14	24801952	24801953	2	8	2	1	7	14	5	9	6	8	4	1	5	11	3	7	10	4	3	9
chr14	24801964	24801965	19	16	13	14	11	15	16	16	16	27	10	12	9	24	17	18	17	22	16	15
chr14	24801970	24801971	30	24	18	25	24	30	18	18	23	41	26	23	22	37	26	32	30	33	26	29
chr14	24801978	24801979	34	26	20	27	25	33	21	23	26	42	26	27	22	37	27	34	32	34	26	31
chr14	24801985	24801986	34	26	20	25	25	33	21	23	26	41	26	26	22	34	27	34	32	34	26	32
chr14	24802008	24802009	34	26	20	27	25	33	21	23	26	42	26	27	22	37	27	34	32	34	24	32
chr14	24802017	24802018	15	10	7	13	14	18	5	7	10	15	16	15	13	13	10	16	15	11	10	17
chr14	24802038	24802039	38	48	36	44	44	64	55	53	29	36	49	54	38	33	33	33	49	30	48	46
chr14	24802048	24802049	38	48	36	44	44	64	55	53	29	36	49	54	38	34	33	33	49	30	48	46
chr14	24802057	24802058	37	48	36	44	44	63	55	53	29	36	49	54	38	34	33	33	49	30	48	46
chr14	24802059	24802060	38	48	36	44	44	64	55	53	29	35	49	54	38	34	33	33	48	30	48	46
chr14	24802074	24802075	2	2	0	2	1	1	4	0	0	1	7	1	1	1	1	1	2	0	1	1
chr14	24802085	24802086	5	5	1	5	4	7	7	3	1	1	10	3	5	3	3	3	6	4	6	3
chr14	24802087	24802088	5	5	1	5	4	7	7	3	1	1	10	3	5	3	3	3	6	4	6	3
chr14	24802094	24802095	5	5	1	5	4	7	7	3	1	1	10	3	5	3	3	3	6	4	6	3
chr14	24802103	24802104	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	1	0	1
chr14	24802112	24802113	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14	24802119	24802120	9	10	3	4	1	13	6	4	9	7	4	7	9	6	4	10	3	16	3	9
chr14	24802135	24802136	24	18	7	15	25	30	21	13	20	13	10	18	22	9	21	26	10	22	19	23
chr14	24802143	24802144	24	18	7	15	26	31	21	13	20	13	10	18	22	9	21	26	10	22	19	23
chr14	24802150	24802151	24	18	7	15	26	31	21	13	20	13	10	18	22	9	21	26	10	22	19	23
chr14	24802152	24802153	24	18	7	15	26	31	21	13	20	13	10	18	22	9	21	26	10	22	19	23
chr14	24802241	24802242	24	18	7	15	26	31	21	13	23	13	10	18	22	9	20	26	10	22	19	23
chr14	24802487	24802488	12	5	4	10	9	6	12	0	7	7	17	2	9	18	14	20	5	14	5	7
chr14	24802489	24802490	12	5	4	10	9	6	12	0	7	7	17	2	9	18	14	20	5	14	5	7
chr14	24802495	24802496	12	5	4	10	9	6	12	0	7	7	17	2	9	18	14	20	5	14	5	7
chr14	24802551	24802552	1	4	1	2	2	1	1	1	2	5	4	1	1	0	2	1	1	2	2	2
chr14	24802575	24802576	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1
chr14	24802583	24802584	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1
chr14	24802714	24802715	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
chr14	24802894	24802895	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14	24802928	24802929	1	4	0	2	2	0	0	0	2	5	4	1	0	0	2	1	0	2	2	1
chr14	24802973	24802974	12	17	14	19	15	12	11	11	20	17	13	19	27	12	10	15	11	17	15	25
chr14	24802976	24802977	12	17	14	19	15	12	11	11	20	16	13	19	27	12	10	15	11	17	15	25
chr14	24802978	24802979	12	17	14	19	14	12	11	11	20	17	13	19	27	12	10	15	11	17	15	25
chr14	24802986	24802987	12	17	14	19	15	11	10	11	19	17	13	19	27	12	10	15	11	17	15	25
chr14	24802990	24802991	12	17	14	19	15	12	11	11	20	17	13	19	27	12	10	15	11	17	15	25
chr14	24803004	24803005	3	9	3	5	1	2	4	2	5	3	4	6	10	0	2	7	2	3	3	4
chr14	24803092	24803093	12	17	14	19	15	12	11	11	20	17	13	19	26	12	10	15	11	17	15	25
chr14	24803121	24803122	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
chr14	24803131	24803132	1	0	5	1	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	1
chr14	24803152	24803153	0	0	4	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0
chr14	24803154	24803155	0	0	4	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0
chr14	24803158	24803159	0	0	4	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0
chr14	24803443	24803444	38	56	40	46	40	34	52	71	55	57	37	53	39	71	69	42	55	31	39	43
chr14	24803452	24803453	38	56	40	46	42	33	52	71	55	57	37	53	39	71	69	42	55	31	39	43
chr14	24803489	24803490	2	6	1	5	1	1	2	1	0	1	1	3	2	2	0	1	0	3	3	0
chr14	24803723	24803724	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr14	24803730	24803731	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr14	24803733	24803734	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr14	24803735	24803736	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr14	24803739	24803740	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr14	24803750	24803751	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr14	24803807	24803808	3	10	1	7	4	1	5	1	5	1	2	3	5	2	0	1	0	3	4	0
chr14	24803822	24803823	3	10	1	7	4	1	5	1	5	1	2	3	5	2	0	1	0	3	4	0
chr14	24803832	24803833	1	5	0	2	2	0	3	0	4	1	1	0	4	2	0	1	0	0	1	0
chr14	24803836	24803837	3	6	5	4	4	4	3	10	3	2	1	6	4	7	5	4	10	6	10	5
chr14	24803851	24803852	23	41	38	40	37	42	41	54	32	22	31	43	36	47	36	35	45	39	47	23
chr14	24803873	24803874	11	17	30	22	13	14	17	19	19	12	18	20	15	24	16	18	17	19	19	9
chr14	24803880	24803881	5	1	4	4	1	3	4	7	1	4	4	7	3	5	4	5	3	4	7	1
chr14	24803925	24803926	2	2	7	2	6	6	9	5	0	6	1	5	1	4	2	4	3	4	6	3
chr14	24803951	24803952	6	8	8	6	14	13	20	9	5	16	3	12	7	10	9	6	5	5	9	10
chr14	24803961	24803962	6	8	8	6	14	13	20	9	5	16	3	12	7	10	9	6	5	5	9	10
chr14	24804022	24804023	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr14	24804035	24804036	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr14	24804048	24804049	4	0	2	3	3	2	5	0	5	5	2	7	2	4	1	3	1	0	2	2
chr14	24804124	24804125	45	39	13	33	28	31	50	51	41	55	37	49	40	50	38	47	41	51	44	43
chr14	24804153	24804154	42	37	13	32	28	30	49	51	37	52	30	48	40	46	37	44	39	50	43	37
chr14	24804181	24804182	41	38	26	39	26	33	34	44	40	39	43	37	36	36	42	36	48	39	40	41
chr14	24804194	24804195	42	38	26	39	26	31	35	44	40	39	43	36	36	36	42	36	48	39	40	41
chr14	24804196	24804197	42	38	26	39	26	33	35	44	40	39	43	37	36	36	42	36	48	39	40	41
chr14	24804199	24804200	43	38	26	39	26	33	35	44	40	39	43	36	36	35	41	36	48	39	40	41
chr14	24804205	24804206	43	38	26	39	26	33	35	43	40	39	43	37	36	35	42	36	48	39	40	41
chr14	24804210	24804211	43	37	26	39	26	32	35	44	40	39	43	36	35	36	42	36	48	39	40	41
chr14	24804238	24804239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
chr14	24804252	24804253	37	46	27	25	37	43	38	44	29	41	29	48	35	34	42	51	41	35	46	40
chr14	24804260	24804261	37	46	27	27	37	43	38	44	28	42	29	48	35	34	42	51	41	35	46	41
chr14	24804264	24804265	36	46	27	27	37	43	38	44	29	42	29	48	35	34	42	51	41	34	46	41
chr14	24804267	24804268	37	46	27	27	37	43	38	44	29	42	29	48	35	34	42	51	41	35	46	40
chr14	24804272	24804273	37	45	27	26	37	43	38	44	29	42	29	48	34	34	42	51	41	35	46	41
chr14	24804290	24804291	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
chr14	24804294	24804295	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
chr14	24804301	24804302	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
chr14	24804312	24804313	3	0	0	1	3	0	0	0	2	0	0	0	0	0	0	0	1	0	5	1
chr14	24804315	24804316	3	0	1	1	3	0	0	0	2	0	0	0	0	0	0	0	1	0	5	2
chr14	24804318	24804319	3	0	1	1	3	0	0	0	2	0	0	0	0	0	0	0	1	0	5	2
chr14	24804320	24804321	3	0	1	1	3	0	0	0	2	0	0	0	0	0	0	0	1	0	5	2
chr14	24804339	24804340	10	4	10	8	8	4	3	9	13	9	11	3	10	10	4	7	7	6	19	10
chr14	24804342	24804343	10	4	10	8	7	4	3	9	13	9	11	3	10	10	4	7	7	6	19	10
chr14	24804352	24804353	2	1	3	1	2	0	1	4	2	0	4	1	2	3	1	0	3	1	6	4
chr14	24804395	24804396	4	1	1	3	1	5	9	0	1	0	4	4	3	4	8	2	5	1	5	1
chr14	24804532	24804533	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr14	24804551	24804552	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr14	24804557	24804558	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr14	24804630	24804631	3	0	1	3	0	1	4	0	1	0	4	3	1	4	4	0	0	0	2	0
chr14	24804651	24804652	4	1	1	3	1	5	9	0	3	0	4	4	3	4	8	2	5	1	5	1
chr14	24804697	24804698	9	10	10	0	5	11	8	0	4	4	14	2	11	5	7	12	4	8	4	0
chr14	24804711	24804712	9	10	10	0	5	11	8	0	4	4	14	2	11	5	7	12	4	8	4	0
chr14	24804826	24804827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
chr14	24804855	24804856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
chr14	24804898	24804899	9	10	10	0	5	11	8	0	4	4	14	2	10	5	7	12	4	16	4	0
chr14	24804984	24804985	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14	24806394	24806395	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14	24807166	24807167	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14	24807220	24807221	3	0	0	3	1	3	0	0	0	2	0	1	1	1	3	2	3	4	0	0
chr14	24807226	24807227	3	0	0	3	1	3	0	0	1	2	0	1	1	1	3	2	3	4	0	0
chr14	24807238	24807239	1	0	0	3	1	1	0	0	1	0	0	1	1	1	1	2	2	4	0	0
chr14	24807616	24807617	3	9	4	3	4	9	7	5	4	3	5	4	3	2	1	4	4	1	5	4
chr14	24807635	24807636	18	17	16	11	17	26	14	12	8	6	14	8	14	17	11	11	12	13	13	11
chr14	24807658	24807659	2	2	6	3	6	14	6	2	1	3	1	2	3	7	10	1	3	6	3	4
chr14	24807665	24807666	22	13	14	24	16	16	15	19	19	21	16	24	27	12	21	28	17	29	17	30
chr14	24808116	24808117	2	0	1	2	3	5	1	0	0	1	0	0	0	1	3	0	0	1	4	1
chr14	24808157	24808158	3	9	5	7	4	1	5	6	6	2	2	3	1	8	1	11	10	3	3	4
chr14	24808226	24808227	3	8	4	10	6	2	5	8	11	4	4	4	9	1	9	9	10	7	3	6
chr14	24808250	24808251	27	27	22	23	19	17	24	28	25	20	13	9	32	18	24	29	31	17	13	16
chr14	24808295	24808296	21	15	9	18	11	18	27	12	23	25	8	12	9	20	10	21	14	17	12	16
chr14	24808336	24808337	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr14	24808347	24808348	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr14	24808357	24808358	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr14	24808383	24808384	24	16	11	22	14	19	27	13	24	27	8	13	9	20	12	21	16	18	13	16
chr14	24808394	24808395	24	16	11	22	14	19	27	13	24	27	8	13	9	20	12	21	16	18	13	16
chr14	24808454	24808455	20	26	16	13	17	20	18	29	22	23	19	20	25	30	14	30	15	21	27	19
chr14	24808524	24808525	20	26	16	13	17	20	18	29	22	23	19	20	25	30	14	30	15	21	27	18
chr14	24808556	24808557	9	7	4	3	12	5	8	7	7	11	8	10	6	12	4	11	6	13	11	11
chr14	24808567	24808568	18	8	8	20	11	21	17	18	22	14	15	18	16	11	24	11	9	11	13	20
chr14	24808587	24808588	29	16	18	33	19	29	27	35	42	24	21	38	25	29	43	24	20	20	23	33
chr14	24808636	24808637	29	16	18	32	19	29	27	35	42	24	21	38	25	29	43	24	20	20	23	33
chr14	24808662	24808663	41	37	35	48	37	46	42	53	57	37	38	26	40	37	52	49	58	32	43	39
chr14	24808670	24808671	41	37	35	48	37	46	42	53	57	37	38	26	40	37	52	49	58	32	43	39
chr14	24808680	24808681	41	37	35	48	37	46	42	52	56	37	38	26	40	37	52	49	58	32	43	39
chr14	24808688	24808689	41	37	35	48	37	46	42	53	57	37	38	26	40	37	52	49	58	32	43	39
chr14	24808710	24808711	19	14	14	14	11	25	24	25	27	21	13	9	16	17	29	12	22	14	21	15
chr14	24808727	24808728	13	19	16	21	20	16	17	29	16	21	11	26	20	38	22	25	19	18	15	26
chr14	24808733	24808734	13	19	16	20	20	16	17	29	16	21	11	26	20	38	22	25	19	18	15	26
chr14	24808742	24808743	13	19	16	21	20	16	17	29	16	21	11	26	20	38	22	25	19	18	15	26
chr14	24808745	24808746	13	19	16	21	20	16	17	29	16	21	11	26	20	38	22	25	19	18	15	26
chr14	24808787	24808788	8	12	14	7	16	14	9	11	14	10	8	15	9	28	11	17	14	8	8	16
chr14	24808796	24808797	13	19	16	21	20	16	17	29	16	21	10	26	20	37	22	25	17	18	15	26
chr14	24808819	24808820	13	16	15	21	20	13	16	25	12	21	9	25	18	36	20	24	20	13	13	25
chr14	24808834	24808835	18	10	12	26	11	6	16	17	24	18	13	16	15	10	11	9	27	12	14	11
chr14	24808839	24808840	28	16	16	28	20	12	18	23	27	20	16	21	15	15	18	13	30	24	26	17
chr14	24808849	24808850	46	28	26	38	36	14	24	33	39	33	26	36	21	35	37	32	40	34	35	26
chr14	24808859	24808860	46	28	25	39	35	14	24	33	39	32	26	36	21	35	37	32	40	34	35	26
chr14	24808861	24808862	45	28	25	39	36	14	24	33	39	33	26	36	21	35	36	32	39	34	35	26
chr14	24808874	24808875	46	28	26	39	36	14	24	32	39	33	26	36	21	35	37	32	40	34	34	26
chr14	24808877	24808878	46	28	26	39	35	14	23	32	39	33	26	36	21	35	36	32	40	34	35	26
chr14	24808905	24808906	6	9	11	8	14	4	3	6	4	4	8	4	3	13	8	11	2	5	7	8
chr14	24808908	24808909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
chr14	24808918	24808919	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
chr14	24808924	24808925	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0
chr14	24808936	24808937	11	7	7	13	7	14	7	1	8	12	6	2	7	9	6	8	8	11	5	3
chr14	24808947	24808948	11	7	7	13	7	14	7	1	8	12	6	2	7	9	6	8	8	11	4	3
chr14	24809162	24809163	11	6	7	13	7	14	7	1	8	12	6	2	7	9	6	8	8	11	5	3
chr14	24810213	24810214	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr14	24811282	24811283	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
chr14	24811289	24811290	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
chr14	24811299	24811300	0	1	1	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0
chr14	24811427	24811428	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
chr14	24811488	24811489	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
chr14	24811520	24811521	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0
chr14	24811555	24811556	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr14	24811586	24811587	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14	24811656	24811657	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
chr14	24812012	24812013	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	1	0	0	0
chr14	24812021	24812022	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0
chr14	24813742	24813743	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
chr14	24813818	24813819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
chr14	24813923	24813924	7	3	2	6	6	10	3	4	5	5	2	5	17	4	5	4	1	4	3	2
chr14	24813961	24813962	4	3	8	10	6	5	11	1	1	11	4	8	3	2	4	7	6	2	2	6
chr14	24813963	24813964	3	3	5	10	4	5	10	1	1	11	3	7	3	2	3	7	6	2	2	5
chr14	24814896	24814897	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr14	24814958	24814959	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
chr14	24815030	24815031	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr14	24815378	24815379	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2
chr14	24815613	24815614	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14	24817013	24817014	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
chr14	24817045	24817046	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr14	24817143	24817144	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr14	24817341	24817342	1	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0
